ImagePath,Caption,Label,skin_type_gt,gender_gt,age,smile,facialHair_moustache,facialHair_beard,facialHair_sideburns,glasses,hair_bald,hair_invisible,makeup_eyeMakeup,makeup_lipMakeup,occlusion_foreheadOccluded,occlusion_eyeOccluded,occlusion_mouthOccluded,accessories_headWear,accessories_glasses,accessories_mask,blur_blurLevel,exposure_exposureLevel,noise_noiseLevel,ImagePath_rect_left,ImagePath_rect_top,ImagePath_rect_width,ImagePath_rect_height,face_light_gt,hair_length_gt,long_medium_hair_gt,glasses_gt
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\11.jpg,Image Description,TRUE,lighter,male,48,0.889,0.1,0.1,0.1,NoGlasses,0.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,overExposure,low,30,56,62,62,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\110.jpg,Image Description,TRUE,lighter,male,32,1,0.1,0.1,0.1,NoGlasses,0.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,36,47,74,74,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\111.jpg,Image Description,TRUE,lighter,male,56,0.351,0.1,0.1,0.1,NoGlasses,0.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,36,50,62,62,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\112.jpg,Image Description,TRUE,lighter,male,53,0.713,0.4,0.4,0.4,NoGlasses,0.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,19,48,75,75,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\113.jpg,Image Description,TRUE,lighter,male,33,1,0.4,0.4,0.4,ReadingGlasses,0.03,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,1,0,low,goodExposure,low,34,49,64,64,yes,short_hair,FALSE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\114.jpg,Image Description,TRUE,lighter,male,54,0.936,0.4,0.4,0.1,ReadingGlasses,0.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.99,0,low,goodExposure,low,31,49,72,72,yes,short_hair,FALSE,yes_thin
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\115.jpg,Image Description,TRUE,lighter,female,44,1,0,0,0,NoGlasses,0.02,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,36,43,57,57,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\116.jpg,Image Description,TRUE,lighter,female,29,1,0,0,0,NoGlasses,0.04,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,40,44,60,60,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\117.jpg,Image Description,TRUE,lighter,female,52,1,0,0,0,ReadingGlasses,0.06,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.99,0,low,goodExposure,low,36,55,61,61,yes,short_hair,FALSE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\118.jpg,Image Description,TRUE,lighter,female,54,1,0,0,0,NoGlasses,0.03,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,high,31,46,60,60,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\119.jpg,Image Description,TRUE,lighter,female,44,1,0,0,0,ReadingGlasses,0.02,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0.99,0,low,goodExposure,medium,32,45,66,66,yes,long_hair,TRUE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\12.jpg,Image Description,TRUE,lighter,male,32,0.881,0.1,0.1,0.1,NoGlasses,0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,33,48,63,63,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\120.jpg,Image Description,TRUE,lighter,female,48,1,0,0,0,NoGlasses,0.03,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,34,50,61,61,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\121.jpg,Image Description,TRUE,lighter,female,50,1,0,0,0,ReadingGlasses,0.02,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,44,49,57,57,yes,medium_hair,TRUE,yes_thin
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\122.jpg,Image Description,TRUE,lighter,female,33,0.994,0,0,0,NoGlasses,0.01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,38,45,56,56,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\123.jpg,Image Description,TRUE,lighter,female,44,1,0,0,0,ReadingGlasses,0.35,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,42,53,61,61,yes,medium_hair,TRUE,yes_thin
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\124.jpg,Image Description,TRUE,lighter,female,38,1,0,0,0,NoGlasses,0.1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,39,48,57,57,yes,medium_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\125.jpg,Image Description,FALSE,lighter,female,42,1,0,0,0,ReadingGlasses,0.08,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0.94,0,low,goodExposure,low,32,50,62,62,yes,short_hair,FALSE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\126.jpg,Image Description,TRUE,lighter,female,34,1,0,0,0,NoGlasses,0.02,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,25,47,58,58,yes,medium_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\127.jpg,Image Description,TRUE,lighter,female,40,0.166,0,0,0,ReadingGlasses,0.07,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,1,0,low,goodExposure,low,32,47,60,60,yes,long_hair,TRUE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\128.jpg,Image Description,TRUE,lighter,female,46,1,0,0,0,NoGlasses,0.02,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,high,33,49,60,60,yes,medium_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\129.jpg,Image Description,TRUE,lighter,female,36,1,0,0,0,NoGlasses,0.03,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,36,47,61,61,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\13.jpg,Image Description,TRUE,lighter,male,57,0.993,0.1,0.1,0.1,NoGlasses,0.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,overExposure,medium,28,49,66,66,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\130.jpg,Image Description,TRUE,lighter,female,44,1,0,0,0,NoGlasses,0.18,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,29,39,59,59,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\131.jpg,Image Description,TRUE,lighter,female,51,1,0,0,0,NoGlasses,0.32,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,33,45,63,63,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\132.jpg,Image Description,TRUE,lighter,female,45,1,0,0,0,NoGlasses,0.09,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,27,51,60,60,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\133.jpg,Image Description,TRUE,lighter,female,35,1,0,0,0,NoGlasses,0.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,high,41,46,62,62,yes,medium_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\134.jpg,Image Description,TRUE,lighter,female,47,1,0,0,0,NoGlasses,0.66,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,28,42,65,65,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\135.jpg,Image Description,TRUE,lighter,female,41,1,0,0,0,NoGlasses,0.12,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,36,48,61,61,yes,medium_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\136.jpg,Image Description,TRUE,lighter,female,38,1,0,0,0,ReadingGlasses,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.97,0,low,goodExposure,low,36,49,64,64,yes,tied_hair,FALSE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\137.jpg,Image Description,TRUE,lighter,female,49,1,0,0,0,NoGlasses,0.01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,32,53,63,63,some,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\138.jpg,Image Description,TRUE,lighter,female,48,1,0,0,0,NoGlasses,0.01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,high,36,41,56,56,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\139.jpg,Image Description,TRUE,lighter,female,38,1,0,0,0,NoGlasses,0.07,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,47,48,53,53,yes,medium_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\14.jpg,Image Description,TRUE,lighter,male,49,1,0.4,0.4,0.4,ReadingGlasses,0.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.99,0,low,goodExposure,low,32,48,58,58,yes,medium_hair,TRUE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\140.jpg,Image Description,TRUE,lighter,female,49,1,0,0,0,NoGlasses,0.02,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,high,37,46,57,57,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\141.jpg,Image Description,TRUE,lighter,female,36,1,0,0,0,NoGlasses,0.03,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,36,46,59,59,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\142.jpg,Image Description,TRUE,lighter,female,52,1,0,0,0,NoGlasses,0.7,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,overExposure,low,35,49,60,60,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\143.jpg,Image Description,TRUE,lighter,female,49,1,0,0,0,NoGlasses,0.06,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,36,46,59,59,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\144.jpg,Image Description,TRUE,lighter,female,49,1,0,0,0,NoGlasses,0.02,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,37,48,59,59,yes,medium_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\145.jpg,Image Description,TRUE,lighter,female,37,1,0,0,0,NoGlasses,0.05,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,31,49,65,65,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\146.jpg,Image Description,TRUE,lighter,female,42,1,0,0,0,NoGlasses,0.02,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,high,39,48,63,63,yes,tied_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\147.jpg,Image Description,TRUE,lighter,female,41,1,0,0,0,NoGlasses,0.01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,41,49,61,61,yes,medium_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\148.jpg,Image Description,TRUE,lighter,female,40,1,0,0,0,NoGlasses,0.04,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,39,51,57,57,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\149.jpg,Image Description,TRUE,lighter,female,32,1,0,0,0,NoGlasses,0.04,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,42,47,57,57,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\15.jpg,Image Description,TRUE,lighter,male,56,1,0.1,0.1,0.1,NoGlasses,0.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,33,48,58,58,yes,medium_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\150.jpg,Image Description,TRUE,lighter,female,45,1,0,0,0,NoGlasses,0.05,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,27,47,63,63,yes,medium_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\151.jpg,Image Description,TRUE,lighter,female,56,1,0,0,0,Sunglasses,0.21,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0.99,0,low,goodExposure,low,43,50,57,57,yes,short_hair,FALSE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\152.jpg,Image Description,TRUE,lighter,female,56,0.951,0,0,0,ReadingGlasses,0.03,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.97,0,low,goodExposure,low,34,51,58,58,yes,medium_hair,TRUE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\153.jpg,Image Description,TRUE,lighter,female,45,1,0,0,0,NoGlasses,0.01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,medium,goodExposure,high,41,46,58,58,some,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\154.jpg,Image Description,TRUE,lighter,female,38,0.981,0,0,0,NoGlasses,0.13,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,34,66,74,74,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\155.jpg,Image Description,TRUE,lighter,female,41,1,0,0,0,NoGlasses,0.05,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,high,30,51,62,62,yes,medium_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\156.jpg,Image Description,TRUE,lighter,female,41,0.998,0,0,0,ReadingGlasses,0.04,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0.95,0,low,goodExposure,low,32,49,60,60,yes,medium_hair,TRUE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\157.jpg,Image Description,TRUE,lighter,female,49,1,0,0,0,ReadingGlasses,0.01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0.98,0,low,goodExposure,low,46,50,55,55,yes,long_hair,TRUE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\158.jpg,Image Description,TRUE,lighter,female,44,1,0,0,0,ReadingGlasses,0.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.98,0,low,goodExposure,low,36,45,59,59,yes,long_hair,TRUE,yes_thin
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\159.jpg,Image Description,TRUE,lighter,female,40,1,0,0,0,NoGlasses,0.03,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,31,46,55,55,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\16.jpg,Image Description,TRUE,lighter,male,52,1,0.1,0.1,0.1,ReadingGlasses,0.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.98,0,low,goodExposure,low,31,50,63,63,yes,short_hair,FALSE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\160.jpg,Image Description,TRUE,lighter,female,53,1,0,0,0,ReadingGlasses,0.07,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0.99,0,low,goodExposure,low,40,50,66,66,yes,short_hair,FALSE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\161.jpg,Image Description,TRUE,lighter,female,32,1,0,0,0,NoGlasses,0.02,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,high,50,46,59,59,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\162.jpg,Image Description,TRUE,lighter,female,43,0.955,0,0,0,NoGlasses,0.17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,34,58,54,54,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\163.jpg,Image Description,FALSE,lighter,female,50,1,0,0,0,ReadingGlasses,0.68,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,37,39,55,55,yes,long_hair,TRUE,yes_thin
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\164.jpg,Image Description,TRUE,lighter,female,49,0.916,0,0,0,NoGlasses,0.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,medium,goodExposure,medium,34,47,63,63,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\165.jpg,Image Description,TRUE,lighter,female,42,1,0,0,0,NoGlasses,0.04,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,high,37,55,63,63,yes,short_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\166.jpg,Image Description,TRUE,lighter,female,42,1,0,0,0,NoGlasses,0.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,38,48,55,55,some,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\167.jpg,Image Description,TRUE,lighter,female,50,1,0,0,0,ReadingGlasses,0.09,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.87,0,low,goodExposure,low,33,47,68,68,yes,long_hair,TRUE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\168.jpg,Image Description,TRUE,lighter,female,50,1,0,0,0,ReadingGlasses,0.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.94,0,low,goodExposure,medium,39,44,58,58,yes,medium_hair,TRUE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\169.jpg,Image Description,TRUE,lighter,female,48,1,0,0,0,NoGlasses,0.12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,high,30,45,60,60,yes,medium_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\17.jpg,Image Description,TRUE,lighter,male,58,1,0.1,0.1,0.1,ReadingGlasses,0.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,34,49,71,71,yes,short_hair,FALSE,yes_thin
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\170.jpg,Image Description,TRUE,lighter,female,45,1,0,0,0,NoGlasses,0.01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,medium,41,48,62,62,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\171.jpg,Image Description,TRUE,lighter,female,45,1,0,0,0,NoGlasses,0.15,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,32,48,59,59,yes,medium_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\172.jpg,Image Description,TRUE,lighter,female,45,1,0,0,0,NoGlasses,0.03,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,overExposure,low,35,56,60,60,yes,medium_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\173.jpg,Image Description,TRUE,lighter,female,55,1,0,0,0,ReadingGlasses,0.01,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0.97,0,low,goodExposure,low,38,49,62,62,yes,long_hair,TRUE,yes_thin
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\174.jpg,Image Description,TRUE,lighter,female,53,1,0,0,0,ReadingGlasses,0.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.99,0,low,goodExposure,low,30,47,63,63,yes,long_hair,TRUE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\175.jpg,Image Description,TRUE,lighter,female,36,0.996,0,0,0,NoGlasses,0.02,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,36,46,56,56,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\176.jpg,Image Description,TRUE,lighter,female,56,1,0,0,0,NoGlasses,0.03,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,39,53,60,60,some,tied_hair,FALSE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\177.jpg,Image Description,TRUE,lighter,female,37,1,0,0,0,NoGlasses,0.16,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,high,36,51,54,54,yes,medium_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\178.jpg,Image Description,TRUE,lighter,female,36,1,0,0,0,NoGlasses,0.05,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,low,28,47,64,64,yes,long_hair,TRUE,no
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\179.jpg,Image Description,TRUE,lighter,female,45,1,0,0,0,ReadingGlasses,0.14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.97,0,low,goodExposure,medium,27,50,74,74,yes,short_hair,FALSE,yes_thick
C:\Datasets\Parliament\Replication_PPB\RawImages\Finland\18.jpg,Image Description,TRUE,lighter,male,43,1,0.1,0.1,0.1,NoGlasses,0.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,low,goodExposure,high,32,49,59,59,yes,short_hair,FALSE,no
